chapter,number,stem,option_a,option_b,option_c,option_d,option_e,answer
第1-2章 细胞的损伤、适应与修复,30,关于结核病引起的干酪样坏死，下列哪一项是错误的,坏死灶呈淡黄色，均匀细腻,镜下，坏死彻底，呈无结构的颗粒状,容易钙化,容易液化，容易吸收,坏死中心结核菌少,B
第1-2章 细胞的损伤、适应与修复,31,下列哪种疾病不可能发生纤维结缔组织玻璃样变,结核性纤维素性胸膜炎,硅肺,慢性表浅性胃炎,肝硬化,心肌梗死,D
第1-2章 细胞的损伤、适应与修复,32,引起细胞脂肪变性的主要原因不包括,贫血,严重挤压,感染,中毒,缺氧,E
第1-2章 细胞的损伤、适应与修复,33,四肢骨折石膏固定后引起的骨骼肌萎缩．主要属于：,神经性萎缩,废用性萎缩,压迫性萎缩,营养不良性萎缩,生理性萎缩,C
第1-2章 细胞的损伤、适应与修复,34,形成两端开放的通道性坏死的缺损称,糜烂,窦道,瘘管,空洞,溃疡,B
第1-2章 细胞的损伤、适应与修复,35,下述哪种肿瘤的发生可与化生有关,皮肤鳞状细胞癌,肾盂移行细胞癌,肠黏液腺癌,肝胆管上皮癌,肠型胃癌,D
第1-2章 细胞的损伤、适应与修复,36,化生不可能发生于,纤维结缔组织,神经纤维组织,胃黏膜上皮,胆囊黏膜上皮,鼻腔黏膜上皮,E
第1-2章 细胞的损伤、适应与修复,37,下列组织或器官若发生增生，哪种有可能不受激素作用,唾液腺,甲状腺,肾上腺,前列腺,垂体,D
第1-2章 细胞的损伤、适应与修复,38,关于肥大，下列描述中哪项不正确,肥大可伴化生,妊娠子宫增大为肥大伴增生,组织和器官的肥大其功能增强,心脏肥大是由于细胞增生引起的,肥大器官超过其代偿能力常导致失代,B
第1-2章 细胞的损伤、适应与修复,39,液化性坏死主要发生于：,肺,肾,脑,心,肝,E
第1-2章 细胞的损伤、适应与修复,40,细胞缺氧时最常见的病理变化是,线粒体肿胀,内质网破裂,核糖体脱落,脂褐素增多,溶酶体增多,B
第1-2章 细胞的损伤、适应与修复,41,恶性肿瘤晚期患者，常引起,全身性萎缩,局部性萎缩,废用性萎缩,内分泌性萎缩,压迫性萎缩,D
第1-2章 细胞的损伤、适应与修复,42,组织中沉积的钙盐在HE染色时，下列哪项描述是正确的,红色颗粒状,黑褐色颗粒状,蓝色粗颗粒状,粉红色颗粒状,黄褐色颗粒状,D
第1-2章 细胞的损伤、适应与修复,43,光镜下判断细胞是否坏死，主要观察,染色质形态的改变,核仁形态的改变,细胞质形态的改变,细胞核形态的改变,细胞形态的改变,E
第1-2章 细胞的损伤、适应与修复,44,细胞水肿发生的机理是,内质网受损,线粒体受损,高尔基氏器受损,核糖体受损,中心体受损,C
第1-2章 细胞的损伤、适应与修复,45,细胞坏死时，具有标志性的改变是,核溶解、胞质浓缩和胞膜破裂,核碎裂、核膜破裂和核质浓缩,核溶解、核质少和胞膜破裂,核固缩、胞质浓缩和细胞膜皱缩,核固缩、核碎裂和核溶解,C
第1-2章 细胞的损伤、适应与修复,46,子宫内膜增生症属于,生理性增生,代偿性增生,内分泌性增生,不典型增生,肿瘤性增生,B
第1-2章 细胞的损伤、适应与修复,47,按组织再生能力的强弱来比较.下列各组的排列哪个是正确的,结缔组织>神经细胞>肝细胞,软骨>腱>肾小球,骨>平滑肌>神经细胞,鳞状上皮细胞>横纹肌>周围神经纤,肾小管上皮细胞>骨髓细胞>脂肪细,D
第1-2章 细胞的损伤、适应与修复,48,细胞萎缩在电镜下最显著的特点是：,肌丝增多,线粒体增多,滑面内质网增多,粗面内质网增多,自噬泡增多,B
第1-2章 细胞的损伤、适应与修复,49,肝细胞一般不发生,脂肪变,细胞水肿,玻璃样变,黏液样变性,糖原蓄积,D
第1-2章 细胞的损伤、适应与修复,50,关于脂肪变，下列哪一种说法不正确,长期摄入脂肪过多可致心肌细胞脂肪,严重贫血可致心肌细胞脂肪变,慢性肝淤血可致肝细胞脂肪变,酒精中毒可致肝细胞脂肪变,严重贫血可致肾小管上皮细胞脂肪变,B
第1-2章 细胞的损伤、适应与修复,51,组织损伤后由结缔组织增生来修补的过程称：,再生,增生,化生,机化,不完全再生,B
第1-2章 细胞的损伤、适应与修复,52,严重的细胞水肿可导致下列哪种改变,纤维素样坏死,凝固性坏死,溶解性坏死,凋亡,干酪样坏死,B
第1-2章 细胞的损伤、适应与修复,53,细胞水肿，电镜下的形态改变主要特点是,线粒体峭增多,线粒体及内质网肿胀,高尔基器多,微绒毛增多,溶酶体增大，增多,D
第1-2章 细胞的损伤、适应与修复,54,最易遭受化学毒性代谢产物损伤的器官是,心,肝,脾,肺,肾,A
第1-2章 细胞的损伤、适应与修复,55,下列哪一种细胞器对缺氧最敏感,线粒体,溶酶体,光面内质网,高尔基器,粗面内质网,C
第1-2章 细胞的损伤、适应与修复,56,下列组织对缺氧的耐受性依次为,脑>肝>肾,肾>肝>脑,肝>脑>肾,肝>肾>脑,肾>脑>肝,B
第1-2章 细胞的损伤、适应与修复,57,病毒性肝炎时，肝细胞最易发生,脂肪变,玻璃样变,细胞水肿及气球样变,淀粉样变性,黏液样变性,B
第1-2章 细胞的损伤、适应与修复,58,发生液化性坏死基本条件应包括,含有较多的可凝固蛋白,组织淤血较严重,组织比较松软,产生蛋白酶较多,有腐败菌感染,B
第1-2章 细胞的损伤、适应与修复,59,细胞坏死过程中，胞核变小，染色质浓集，称为,多倍体,核分裂象,核固缩,核碎裂,核溶解,B
第1-2章 细胞的损伤、适应与修复,60,可以发生坏疽的器官是,肝,肾,胰,阑尾,脾,B
第1-2章 细胞的损伤、适应与修复,61,下列病变中不能根据肉眼所见确定坏死性质的是,凝固性坏死,纤维素样坏死,脂肪坏死,坏疽,液化性坏死,C
第1-2章 细胞的损伤、适应与修复,62,凝固性坏死的特殊类型有,坏疽与纤维蛋白样坏死,坏疽与脂肪坏死,干酪样坏死与坏疽,纤维蛋白样坏死与干酪样坏死,脂肪坏死与干酪样坏死,C
第1-2章 细胞的损伤、适应与修复,63,液化性坏死好发生于下列哪种器官,脑,心,肝,脾,肺,C
第1-2章 细胞的损伤、适应与修复,64,脊髓的坏死属于,凝固性坏死,干酪样坏死,液化性坏死,纤维素样坏死,脂肪坏死,B
第1-2章 细胞的损伤、适应与修复,65,常发生机化的病灶，下列哪项除外,风湿性小体,心肌梗死,脑梗,肠上皮细胞化生,干酪样坏死,D
第1-2章 细胞的损伤、适应与修复,66,纤维素样坏死物质不见于下列哪种病变,风湿病,良性高血压,系统性红斑狼疮,类风湿性关节炎,恶性高血压,C
第1-2章 细胞的损伤、适应与修复,67,急进型高血压时，细动脉壁内有细丝、颗粒状或凝集成片块状的嗜酸物质，其改变可能是,玻璃样变,淀粉样变,黏液样变性,纤维素样坏死,干酪样坏死,B
第1-2章 细胞的损伤、适应与修复,68,关于凋亡叙述，下列哪项是错误的,凋亡的发生与基因调节有关,活体内单个细胞或小团细胞的死亡,又称程序性细胞死亡,细胞质膜破裂，核也碎裂,不引起急性炎症反应,A
第1-2章 细胞的损伤、适应与修复,69,细胞缺氧. 细胞膜受损.细胞内出现：,钠多，钾多，水多,钠少，钾多，水少,钠多，钾少，水多,钠多，钾少，水少,钠少，钾多，水多,A
第1-2章 细胞的损伤、适应与修复,70,电镜下细胞凋亡的特征性改变是,细胞皱缩,胞浆致密,染色质边集,核碎裂,凋亡小体形成,A
第1-2章 细胞的损伤、适应与修复,71,酶解性脂肪坏死时，若有大量脂肪酸的形成，常继发,空洞形成,窦道形成,钙皂形成,瘘管形成,溃疡形成,A
第1-2章 细胞的损伤、适应与修复,72,凝固性坏死总体形态特点是,呈灰黑色,组织干酪样,界限不清,易并发感染,原有组织结构、轮廓保存,D
第1-2章 细胞的损伤、适应与修复,73,肾结核时，坏死组织经自然管道排出后可形成,糜烂,窦道,瘘管,空洞,溃疡,D
第1-2章 细胞的损伤、适应与修复,74,下列哪一种变化属于坏死的病理改变,细胞体积肿大，胞浆内有红染颗粒,细胞体积缩小，胞浆内有脂褐素颗粒,细胞核膜破裂，染色质崩解为小碎片,细胞核增大，细胞核的 DNA 含量增,细胞体积正常或稍大，出现双核,B
第1-2章 细胞的损伤、适应与修复,75,细胞坏死的改变是自溶性改变，其发生与下列哪种细胞器有关,线粒体,溶酶体,粗面内质网,高尔基器,光面内质网,A
第1-2章 细胞的损伤、适应与修复,76,血液中淀粉酶大幅度升高，可考虑为,肝细胞坏死,脑液化性坏死,胰腺坏死,心肌梗死,肾梗死,C
第1-2章 细胞的损伤、适应与修复,77,区别死后组织自溶与坏死，最可靠的根据是,组织轮廓是否存在,细胞内琥珀酸脱氢酶丧失程度,电镜下细胞器破坏情况,细胞核溶解消失情况,病变周围有无炎症反应,B
第1-2章 细胞的损伤、适应与修复,78,凝固性坏死的组织学特点是,红染无结构物质,可见核碎片,尚保留细胞、组织轮廓残影,间质胶原纤维崩裂,基质解聚,B
第1-2章 细胞的损伤、适应与修复,79,干酪样坏死好发于下列哪种疾病,风湿病,伤寒,结核,麻风,梅毒,D
第1-2章 细胞的损伤、适应与修复,80,干酪样坏死应属于,纤维素样坏死,彻底的凝固性坏死,坏疽,液化性坏死,脂肪坏死,C
第1-2章 细胞的损伤、适应与修复,81,下列哪项是发生干性坏疽的条件,发生于肺或子宫等内脏,有明显的腐败菌感染,全身中毒症状严重,病变部分较干燥，腐败菌感染较轻,病灶内坏死组织分界，产生大量气体,D
第1-2章 细胞的损伤、适应与修复,82,关于湿性坏疽的描述，下列哪项是不正确的,常继发于肠、子宫及肺等内脏器官的,坏死组织与周围组织边界不清,常有恶臭味,若发于肢体末端只有动脉的阻塞,全身中毒症状明显,B
第1-2章 细胞的损伤、适应与修复,83,不属于凝固性坏死的病变是,脑梗,心肌梗死,肾梗死,干酪样坏死,脾贫血性梗死,A
第1-2章 细胞的损伤、适应与修复,84,气性坏疽是湿性坏疽的一种特殊形式，主要是合并了()的感染。,结核杆菌,产气荚膜杆菌,金黄色葡萄球菌,链球菌,白色念珠菌,D
第1-2章 细胞的损伤、适应与修复,85,全身营养不良时，首先发生萎缩的组织或器官是：,骨骼肌,脂肪组织,肝,脑,心肌,B
第1-2章 细胞的损伤、适应与修复,86,下列哪项不是痂下愈合的特点,伤口表面有黑褐色硬痂形成,愈合时间一般较无痂情况下为长,干燥的痂皮一般是造成细菌感染的条,一般当上皮再生完成后痂皮才脱落,干燥的痂皮一般不利于细菌感染,C
第1-2章 细胞的损伤、适应与修复,87,决定创伤愈合后局部组织抗牵拉的因素是,创伤愈合的时间,创面大小和深度,是否伴有感染,愈合过程中肉芽组织的量,愈合部位胶原的含量,E
第1-2章 细胞的损伤、适应与修复,88,影响创伤愈合的局部因素中下列哪项除外,感染与异物,局部血液循环循环,神经支配,电离辐射,营养状况,A
第1-2章 细胞的损伤、适应与修复,89,完成瘢痕修复的物质基础是,上皮组织,肉芽组织,毛细血管网,纤维蛋白网架,炎性渗出物,D
第1-2章 细胞的损伤、适应与修复,90,细胞在生长过程中，如果互相接触，则生长停止，这种现象叫,再生性增生,生长的接触抑制,修复,完全再生,二期愈合,C
第1-2章 细胞的损伤、适应与修复,91,疤痕疙瘩的形成可能与下列何种细胞有关,巨噬细胞,成纤维细胞,中性粒细胞,淋巴细胞,肥大细胞,A
第1-2章 细胞的损伤、适应与修复,92,瘢痕修复过程最重要的细胞成分是,上皮细胞,渗出的白细胞,单核巨噬细胞,血管内皮细胞,成纤维细胞,D
第1-2章 细胞的损伤、适应与修复,93,大块疤痕可引起：,关节运动障碍,器官表面凹陷,器官变形,腔室狭窄,以上均可,D
第1-2章 细胞的损伤、适应与修复,94,一期愈合应具备的条件是,组织缺损少、创缘整齐、无感染,组织缺损少、创缘不整齐、有感染,组织缺损少、创缘不整齐、有感染,创缘整齐、无感染、组织缺损大,创缘整齐、组织缺损大、有感染,C
第1-2章 细胞的损伤、适应与修复,95,下列哪项条件易产生二期愈合,组织缺损大、创缘整齐、创面对合紧,组织缺损少、创缘整齐、创面对合紧,组织缺损大、无感染、创缘整齐,创缘整齐、创面对合紧密、有感染,创缘不整齐、创面对合不紧密、有感,E
第1-2章 细胞的损伤、适应与修复,96,虎斑心见于：,白喉,中毒,严重贫血,肥胖,高脂血症,B
第1-2章 细胞的损伤、适应与修复,97,关于创伤性神经瘤的形成下列哪项是正确的,神经纤维细胞增生,神经纤维断裂变性,神经鞘细胞增生形成带状的合体细胞,再生轴突与增生的结缔组织混杂在一,神经鞘细胞与增生的结缔组织混杂在,E
第1-2章 细胞的损伤、适应与修复,98,关于疤痕组织特点的叙述，下列哪项是不正确的,由大量胶原纤维束组成,纤维束常发生玻璃样变,组织内血管稀少,纤维细胞稀少,纤维细胞增多并伴玻璃样变,D
第1-2章 细胞的损伤、适应与修复,99,哪项描述符合瘢痕组织的特点,细胞间有丰富的液体成分,组织内有大量的毛细血管,组织色泽鲜红、质地柔软,组织质地较硬、缺乏弹性,组织内有较多的炎性细胞,C
第1-2章 细胞的损伤、适应与修复,100,下列肾小管变性中．哪种损害最早,气球样变,水变性,脂变,细胞内钙盐沉着,细胞内玻变,C
第1-2章 细胞的损伤、适应与修复,101,下列各项中哪个是错误的,机化乃是用肉芽组织来取代坏死组织,单核细胞的溶酶体如果功能发生异常,包裹从本质上说也是一种机化过程,机体对外界侵入体内的异物.总是以,机化对机体是有利的. 但有时也可带,D
第1-2章 细胞的损伤、适应与修复,102,肉芽组织内能分泌多种生长因子的细胞是,浆细胞,淋巴细胞,纤维细胞,巨噬细胞,中性粒细胞,A
第1-2章 细胞的损伤、适应与修复,103,创伤愈合过程中2~3日后伤口收缩的主要原因是,纤维细胞的作用,水分的吸收,胶原纤维的作用,肌成纤维细胞的作用,胶原纤维玻璃样变,E
第1-2章 细胞的损伤、适应与修复,104,疤痕修复可见于下列哪种病变,急性细菌性痢疾,胃黏膜糜烂,肝细胞点状坏,子宫颈糜烂,十二指肠溃疡,B
第1-2章 细胞的损伤、适应与修复,105,支气管粘膜上皮出现鳞状上皮化生．常属于下列哪一种改变,分化不良,不典型增生,不完全再生,癌前期改变,适应性改变,A
第1-2章 细胞的损伤、适应与修复,106,下列哪项的内容不正确,心肌再生力极弱，一般都是瘢痕修复,毛细血管多以生芽方式再生,神经细胞破坏后也能再生,肝细胞有较强的再生能力,皮肤附属器如完全破坏，则出现瘢痕,A
第1-2章 细胞的损伤、适应与修复,107,下列哪种因素对再生修复不利,局部感染已被控制,患者无血管硬化性疾病,局部有较明显的瘢痕组织,创口缝合良好,充足维生素 C 的供给,B
第1-2章 细胞的损伤、适应与修复,108,瘢痕疙瘩的形成可能是,全身营养不良,年龄较大,身体体质有关,局部感染较重,缺乏维生素 C,E
第1-2章 细胞的损伤、适应与修复,109,下列哪种病变中没有肉芽组织的存在,血肿,血栓,静脉,胃溃疡,肾脓肿,D
第1-2章 细胞的损伤、适应与修复,110,下列哪种因素对再生修复不利,充足的维生素 C 供给,营养中不缺乏蛋白质,局部血液循环正常,局部有异物存在,患者是年轻人,E
第1-2章 细胞的损伤、适应与修复,111,皮肤损伤后由结缔组织取代的过程,化生,完全性再生,瘢痕修复,异型增生,异常增生,C
第1-2章 细胞的损伤、适应与修复,112,下列哪项属病理性再生,血细胞的更新,消化道黏膜上皮的更新,子宫内膜的周期性再生,皮肤损伤后由周围的被覆上皮增生修,以上均不是,D
第1-2章 细胞的损伤、适应与修复,113,疤痕组织逐渐缩小、软化的主要原因是,毛细血管逐渐减少,肌成纤维细胞的作用,水分被吸收,胶原酶的作用,机体抵抗力增强,A
第1-2章 细胞的损伤、适应与修复,114,下列哪种细胞是稳定细胞,皮肤表皮细胞,移行上皮细胞,造血细胞,平滑肌细胞,胃、肠道黏膜上皮细胞,C
第1-2章 细胞的损伤、适应与修复,115,再生能力最强的细胞是,胃、肠道黏膜上皮细胞,软骨细胞,心肌细胞,唾液腺,神经细胞,E
第1-2章 细胞的损伤、适应与修复,116,再生能力最弱的细胞是,肝细胞,原始的间叶细胞,骨细胞,内分泌细胞,心肌细胞,A
第1-2章 细胞的损伤、适应与修复,117,关于永久性细胞的描述，正确的是,易受损的细胞,损伤后不能再生，成为永久性缺损的,损伤后能完全再生的细胞,不断衰亡、更新的细胞,修复后细胞无化生,B
第1-2章 细胞的损伤、适应与修复,118,不稳定细胞是指,损伤后不容易完全再生的细胞,损伤后可以完全再生的细胞,损伤后不能再生的细胞,不容易受损伤的细胞,修复后细胞有化生,D
第1-2章 细胞的损伤、适应与修复,119,下列哪项是形成痂皮的主要成分,上皮细胞,纤维结缔组织,坏死组织,死骨,变性的细胞,D
第1-2章 细胞的损伤、适应与修复,120,一般不会出现肉芽组织的病变是,结核空洞,脓肿壁,化生病灶,动脉粥样硬化,陈旧性心肌梗死,E
第1-2章 细胞的损伤、适应与修复,121,肉芽组织中抗感染的主要成分是,毛细血管,成纤维细胞,炎症细胞,细胞外基质,成肌纤维细胞,B
第1-2章 细胞的损伤、适应与修复,122,肉芽组织中一般没有,单核巨噬细胞,中性粒细胞,神经纤维,胶原纤维,外源性异物,E
第1-2章 细胞的损伤、适应与修复,123,关于肉芽组织的结局，下列哪项叙述是正确的,最终填补缺损,最终纤维化形成瘢痕,抗感染的过程,产生细胞外基质的过程,分泌大量生长因子，调控细胞增生的,D
第1-2章 细胞的损伤、适应与修复,124,毛细血管再生的最初改变是,内皮细胞游走,内皮细胞分裂增生形成幼芽,内皮细胞穿出血管壁,内皮细胞分泌IV型胶原,内皮细胞分裂增生出现毛细血管腔,C
第1-2章 细胞的损伤、适应与修复,125,随着肉芽组织演变为瘢痕组织，可见到,毛细血管的数量逐渐增多,胶原纤维的数量逐渐增多,成纤维细胞的数量逐渐增多,炎性细胞的数量逐渐增多,组织内水分的含量逐渐增多,A
第1-2章 细胞的损伤、适应与修复,126,在肉芽组织内具有收缩功能，又能产生基质和胶原的细胞是,成纤维细胞,巨噬细胞,血管内皮细胞,成纤维细胞,中性粒细胞,E
第1-2章 细胞的损伤、适应与修复,127,肉芽组织可以,为细菌感染提供条件,造成局部皱缩、引起器官变形,保护创面、填补伤,恢复原有组织的功能,无任何有利于机体的作用,C
第1-2章 细胞的损伤、适应与修复,128,下列各种组织哪一种再生能力最强,骨骼肌,神经节细胞,心肌,神经胶质细胞,软骨,C
第1-2章 细胞的损伤、适应与修复,129,以下哪一项原因不引起萎缩,肾盂积水,慢性肝淤血,垂体功能低下,四氯化碳中毒,脊髓前角神经细胞坏死,C
第1-2章 细胞的损伤、适应与修复,130,肉芽组织的基本成分是,毛细血管和炎性细胞,成纤维细胞和炎性细胞,淋巴细胞和纤维细胞,成纤维细胞和毛细血管,肌成纤维细胞和毛细淋巴管,E
第1-2章 细胞的损伤、适应与修复,131,骨折愈合的最终阶段应是,骨性骨痂形成,骨改建,纤维性骨痂连接,骨样组织中有钙盐沉着,完成了软骨化骨过程,D
第1-2章 细胞的损伤、适应与修复,132,A13.D1.E7.C8.B14.D2.D9.B15.E3.E10.C16.C4.E11.B,大量炎细胞灶性聚集,新生的毛细血管灶性聚集,表面的毛细血管网呈祥状弯曲,感染、炎性水肿引起,成纤维细胞灶性聚集,A
第1-2章 细胞的损伤、适应与修复,133,D5.E12.A,大量炎细胞灶性聚集,新生的毛细血管灶性聚集,表面的毛细血管网呈祥状弯曲,感染、炎性水肿引起,成纤维细胞灶性聚集,C
第3章 局部血液循环障碍,1,慢性肺淤血的镜下改变，下列哪一项应该除外,肺泡腔内有心衰细胞,肺泡壁增宽,肺泡壁毛细血管扩张充血,切面为棕红色,肺内支气管扩张,E
第3章 局部血液循环障碍,2,透明血栓最常见于(,小动脉,小静脉,毛细血管,中静脉,中动脉,D
第3章 局部血液循环障碍,3,致使肺梗死的血栓栓子一般来自),静脉系统或右心的血栓,二尖瓣疣状血栓的脱落,门静脉的血栓脱落,左心房附壁血栓,动脉及左心房的血栓脱落,C
第3章 局部血液循环障碍,4,脂肪栓塞,顺压力运行,顺血流运行,气体栓塞,肿瘤细胞栓塞,血栓栓塞,D
第3章 局部血液循环障碍,5,栓子运行一般(）,顺压力运行,顺血流运行,逆压力运行,,,E
第3章 局部血液循环障碍,6,逆血流运行,动脉系统栓塞,脂肪分解产物引起中毒,肾小动脉栓塞,脑小动脉栓塞,交叉运行,A
第3章 局部血液循环障碍,7,脂肪栓塞患者的一般死亡原因是),动脉系统栓塞,脂肪分解产物引起中毒,肾小动脉栓塞,脑小动脉栓塞,肺水肿和心功能不全,A
第3章 局部血液循环障碍,8,潜水员过快地从海底升到水面容易发生(),肺不张,氮气气体栓塞,肺气肿,血栓栓塞,空气栓塞,B
第3章 局部血液循环障碍,9,最常见的栓子是(),脱落的肿瘤细胞团,空气,血栓,羊水,寄生虫,E
第3章 局部血液循环障碍,10,槟榔肝是由引起的：,肝脂变,肝水变性,门脉性肝硬化,慢性肝淤血,坏死后性肝硬化,C
第3章 局部血液循环障碍,11,诊断羊水栓塞的证据主要是在下何处发现羊水成分(),脑动脉,子宫腔内,肺泡腔内,细支气管内,肺小动脉和毛细血管,C
第3章 局部血液循环障碍,12,妇女分娩时死亡，尸体解剖发现肺小动脉内有角化上皮细胞、毛发等物质，其死亡原因可能是(),脂肪栓塞,气体栓塞,肿瘤细胞栓塞,羊水栓塞,血栓栓塞,D
第3章 局部血液循环障碍,13,在循环血液中出现不溶于血液的异常物质，随着血液流动，阻塞血管腔，这种现象称为 A. 血栓形成,血栓再通,梗死,血管阻塞,栓塞,血栓栓塞,B
第3章 局部血液循环障碍,14,血栓中的纤维蛋白被溶解称为(),血栓再通,溶解吸收,血栓机化,血栓钙化,血栓栓塞,A
第3章 局部血液循环障碍,15,血栓对机体的不利影响不包括(),阻塞血管,引起组织和器官的梗死,堵塞血管破口，阻止出血,心瓣膜变形,DIC，并引起广泛出血和休克,C
第3章 局部血液循环障碍,16,肺动脉栓塞患者常见的死亡原因是(),急性右心衰竭,急性左心衰竭,中毒性休克,大片肺出血,急性肾衰,A
第3章 局部血液循环障碍,17,左心的附壁血栓脱落后可引起(),脑动脉栓塞,肺动脉栓塞,体静脉栓塞,肝静脉栓塞,门静脉栓塞,E
第3章 局部血液循环障碍,18,在机化的血栓中形成与原血管腔相沟通的毛细血管，使部分血流得以恢复，这种现象称为(),血栓脱落,侧支循环形成,血栓机化,血栓硬化,再通,E
第3章 局部血液循环障碍,19,下列哪项不是慢性淤血的后果：,实质细胞的增生,出血,含铁血黄素沉积,间质细胞增生,可并发血栓形成,C
第3章 局部血液循环障碍,20,下列哪项属于静脉性充血(),减压后充血,妊娠子宫充血,炎性充血,进食后胃肠道的充血,静脉阻塞引起的充血,E
第3章 局部血液循环障碍,21,骨折后脂肪栓塞的部位通常是(),肺,脑,心,肝,肾,A
第3章 局部血液循环障碍,22,静脉血栓的尾部是(,白色血栓,混合血栓,红色血栓,透明血栓,层状血栓,D
